,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_group,neighbourhood,room_type,reviews_per_month,is_zero,price
96,3.1447279205295775,-0.4344043875252188,0.6345117171191821,1.0125254775958947,0,16,1,0,0,-0.9122969881431131
97,0.04103846410384939,-0.06523586859593275,-0.615766718116943,0.6426055942705483,0,12,0,1,0,0.6681442968047663
98,0.20439054075783505,-0.3337220641808681,1.0766833588490312,1.0193758458056235,0,16,1,1,0,-0.960665920699203
99,-0.48985578502160404,-0.3337220641808681,-0.5547775261542052,-1.4193552368577718,0,16,1,1,1,2.3142810199860504
101,-0.4081797466946112,-0.06523586859593275,-0.35656265227530726,0.8686677451915934,0,13,1,1,0,-0.3942140775907644
104,-0.4081797466946112,0.20325032698900256,-0.615766718116943,0.854967008772136,0,6,0,1,0,0.4959352369748155
106,-0.48985578502160404,-0.1323574174921666,-0.49378833419146734,1.0536276868542667,1,22,1,1,0,-0.31813539438102595
107,-0.24482767004062556,0.3710541992295871,-0.34131535428462284,1.0810291596931811,0,23,0,1,0,0.42702476116789834
108,-0.44901776585810765,-0.4344043875252188,-0.6005194201262585,1.0810291596931811,1,0,1,0,0,-0.31813539438102595
109,-0.28566568920412194,-0.23303974083651732,-0.615766718116943,-1.0494353535324252,0,16,1,1,0,-1.1177742730289981
110,-0.48985578502160404,-0.30016128973275114,-0.49378833419146734,1.026226214015352,1,22,1,1,0,1.0265240934731286
111,-0.4081797466946112,-0.06523586859593275,-0.6005194201262585,0.7111092763678347,0,21,0,1,0,0.817668570512714
112,0.32690459824832435,-0.4344043875252188,-0.615766718116943,-1.4193552368577718,3,25,1,0,1,-1.2966096828489873
113,0.20439054075783505,-0.40084361307710187,1.0766833588490312,0.9988247411764375,0,6,1,1,0,-1.431034904530022
114,3.1447279205295775,-0.3337220641808681,-0.585272122135574,1.0604780550639952,1,0,1,1,0,-0.6947241295806393
115,3.1447279205295775,-0.367282838628985,-0.585272122135574,1.067328423273724,1,0,1,1,0,0.037372976695010114
116,3.1447279205295775,-0.4344043875252188,-0.615766718116943,-1.4193552368577718,0,18,1,0,1,0.8288158465929064
117,-0.3265037083676184,-0.367282838628985,-0.6005194201262585,-1.4193552368577718,0,24,0,1,1,0.2574476057161683
118,3.1447279205295775,-0.26660051528463424,-0.585272122135574,1.0810291596931811,1,0,1,1,0,-0.6947241295806393
119,-0.4081797466946112,-0.4344043875252188,-0.6005194201262585,1.0810291596931811,1,0,1,0,0,-0.26050298270732836
120,-0.3265037083676184,-0.16591819194028348,-0.615766718116943,-1.4193552368577718,0,5,0,1,1,0.9295216032354106
121,0.6944467707197922,-0.367282838628985,-0.585272122135574,-0.23424153657471738,0,14,1,1,0,1.4135331697244766
122,-0.12231361255013629,-0.4344043875252188,-0.6005194201262585,0.5946530168024479,4,25,0,0,0,0.037372976695010114
123,-0.4081797466946112,1.21007356043251,-0.6005194201262585,0.9440217954986084,0,24,1,1,0,-0.8656942980000635
124,-0.3265037083676184,-0.06523586859593275,-0.585272122135574,-0.1862889591066169,0,14,1,1,0,1.479759102536368
125,-0.48985578502160404,2.9216730572864726,0.10085628744522628,0.8207151677234928,0,18,0,1,0,0.2574476057161683
126,-0.44901776585810765,3.156598478423291,0.10085628744522628,0.7933136948845784,0,18,0,1,0,0.2574476057161683
127,-0.3673417275311148,0.5388580714701716,-0.6005194201262585,-1.2617967680340132,4,25,1,1,0,-0.7773218828832091
128,-0.48985578502160404,-0.1994789663884004,-0.5700248241448896,1.0741787914834524,4,25,1,1,0,-0.6748945173285302
129,-0.4081797466946112,5.036001847517838,-0.615766718116943,-1.2206945587756413,0,16,0,1,0,0.9790830480929824
130,-0.48985578502160404,-0.16591819194028348,-0.46329373821009845,1.0330765822250807,0,10,1,1,0,-0.1920967257705498
131,-0.44901776585810765,-0.1994789663884004,-0.615766718116943,-1.4193552368577718,0,14,0,1,1,-0.3329782631610121
132,-0.44901776585810765,10.405725759216544,-0.615766718116943,0.21788276526737274,1,0,0,1,0,0.24828653336171214
133,-0.4081797466946112,0.27037187588523637,-0.585272122135574,-0.1862889591066169,0,14,1,1,0,1.1199681079738881
134,-0.48985578502160404,2.8545515083902386,0.10085628744522628,0.950872163708337,0,18,1,1,0,-0.36321443894851985
135,-0.4081797466946112,1.5792420793617958,-0.6005194201262585,-1.4193552368577718,4,25,1,1,1,-1.7492405844514929
136,-0.3673417275311148,-0.1994789663884004,-0.6005194201262585,0.8686677451915934,3,7,1,1,0,-1.1177742730289981
137,0.6127707323927992,-0.367282838628985,1.0766833588490312,0.8618173769818648,0,16,1,1,0,-1.1177742730289981
140,-0.48985578502160404,9.868753368046674,-0.585272122135574,0.7385107492067492,0,16,1,1,0,-0.6748945173285302
141,-0.48985578502160404,0.3374934247814702,-0.32606805629393837,1.026226214015352,0,10,1,1,0,1.3533124418939326
142,-0.48985578502160404,4.331225584107383,0.10085628744522628,0.6974085399483774,0,18,0,1,0,0.7058740726089446
143,-0.24482767004062556,1.3107558837768607,-0.615766718116943,-1.4193552368577718,0,10,1,1,1,-0.9122969881431131
144,-0.48985578502160404,-0.367282838628985,-0.32606805629393837,1.0193758458056235,0,10,1,1,0,0.993530015775514
145,-0.48985578502160404,1.176512785984393,-0.32606805629393837,1.0330765822250807,0,10,1,1,0,1.2100070321963647
146,-0.44901776585810765,0.5388580714701716,-0.32606805629393837,1.0330765822250807,0,10,1,1,0,-1.0109336460883247
147,-0.48985578502160404,1.2436343348806267,-0.32606805629393837,1.046777318644538,0,10,1,1,0,0.21091050081736257
148,-0.44901776585810765,-0.23303974083651732,-0.32606805629393837,1.067328423273724,0,10,1,1,0,-1.0109336460883247
149,-0.48985578502160404,-0.06523586859593275,-0.32606805629393837,0.9851240047569803,0,10,1,1,0,1.7022984434032453
150,-0.44901776585810765,-0.3337220641808681,-0.615766718116943,-0.6110117881097925,0,3,0,1,0,0.04831454433693495
151,-0.48985578502160404,-0.4344043875252188,-0.615766718116943,1.0810291596931811,2,25,1,0,0,1.7923837336867445
152,-0.4081797466946112,0.6059796203664054,-0.6005194201262585,0.8960692180305079,0,12,0,1,0,-0.07793156226463799
